name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Amir Edri,maccabi-haifa,maccabi-haifa,maccabi-haifa,,,,,,,,
Bojan Saranov,maccabi-haifa,maccabi-haifa,,,,,,,,,
Edin Cocalic,maccabi-haifa,maccabi-haifa,maccabi-haifa,,,,,,,,
Andriy Pylyavskyi,maccabi-haifa,maccabi-haifa,,,,,,,,,
Ayid Habshi,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,bnei-yehuda-tel-aviv,maccabi-haifa,maccabi-haifa,maccabi-haifa,ironi-kiryat-shmona,ironi-kiryat-shmona
Samuel Scheimann,maccabi-haifa,maccabi-haifa,maccabi-haifa,hapoel-tel-aviv,hapoel-tel-aviv,hapoel-haifa,hapoel-beer-sheva,ironi-kiryat-shmona,,,
Oded Elkayam,maccabi-haifa,ironi-kiryat-shmona,ironi-kiryat-shmona,ironi-kiryat-shmona,ironi-kiryat-shmona,,,,,,
Liroy Tzairi,maccabi-haifa,bnei-yehuda-tel-aviv,,beitar-jerusalem,,,beitar-jerusalem,,,,
Ataa Jaber,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,ihud-bnei-sachnin,ihud-bnei-sachnin,ihud-bnei-sachnin,ihud-bnei-sachnin,fc-ashdod,
Eyal Golasa,maccabi-haifa,maccabi-haifa,,,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv
Yaniv Katan,maccabi-haifa,maccabi-haifa,,,,,,,,,
Hen Ezra,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,beitar-jerusalem,beitar-jerusalem,hapoel-beer-sheva,maccabi-netanya,maccabi-netanya,maccabi-netanya,
Ismaeel Rayan,maccabi-haifa,maccabi-haifa,ihud-bnei-sachnin,maccabi-haifa,maccabi-haifa,ironi-kiryat-shmona,ironi-kiryat-shmona,ironi-kiryat-shmona,ihud-bnei-sachnin,sektzia-ness-ziona,
Weaam Amasha,maccabi-haifa,ironi-kiryat-shmona,maccabi-haifa,ihud-bnei-sachnin,hapoel-tel-aviv,hapoel-hadera,,,,,
Dino Ndlovu,maccabi-haifa,maccabi-haifa,,,,,,,,,
Shlomi Azulay,maccabi-haifa,maccabi-haifa,beitar-jerusalem,maccabi-tel-aviv,ironi-kiryat-shmona,maccabi-haifa,maccabi-haifa,beitar-jerusalem,beitar-jerusalem,hapoel-tel-aviv,hapoel-tel-aviv
Shlomi Azulay,maccabi-haifa,maccabi-haifa,beitar-jerusalem,maccabi-tel-aviv,ironi-kiryat-shmona,maccabi-haifa,maccabi-haifa,beitar-jerusalem,beitar-jerusalem,hapoel-tel-aviv,hapoel-tel-aviv
Shlomi Azulay,maccabi-haifa,maccabi-haifa,beitar-jerusalem,maccabi-tel-aviv,ironi-kiryat-shmona,maccabi-haifa,maccabi-haifa,beitar-jerusalem,beitar-jerusalem,hapoel-tel-aviv,hapoel-tel-aviv
Shlomi Azulay,maccabi-haifa,maccabi-haifa,beitar-jerusalem,maccabi-tel-aviv,ironi-kiryat-shmona,maccabi-haifa,maccabi-haifa,beitar-jerusalem,beitar-jerusalem,hapoel-tel-aviv,hapoel-tel-aviv
Shlomi Azulay,maccabi-haifa,maccabi-haifa,beitar-jerusalem,maccabi-tel-aviv,ironi-kiryat-shmona,maccabi-haifa,maccabi-haifa,beitar-jerusalem,beitar-jerusalem,hapoel-tel-aviv,hapoel-tel-aviv
Shlomi Azulay,maccabi-haifa,maccabi-haifa,beitar-jerusalem,maccabi-tel-aviv,ironi-kiryat-shmona,maccabi-haifa,maccabi-haifa,beitar-jerusalem,beitar-jerusalem,hapoel-tel-aviv,hapoel-tel-aviv
Shlomi Azulay,maccabi-haifa,maccabi-haifa,beitar-jerusalem,maccabi-tel-aviv,ironi-kiryat-shmona,maccabi-haifa,maccabi-haifa,beitar-jerusalem,beitar-jerusalem,hapoel-tel-aviv,hapoel-tel-aviv
Shlomi Azulay,maccabi-haifa,maccabi-haifa,beitar-jerusalem,maccabi-tel-aviv,ironi-kiryat-shmona,maccabi-haifa,maccabi-haifa,beitar-jerusalem,beitar-jerusalem,hapoel-tel-aviv,hapoel-tel-aviv
Nir Davidovitch,maccabi-haifa,,,,,,,,,,
Ron Shushan,maccabi-haifa,maccabi-haifa,,,maccabi-netanya,,,fc-ashdod,fc-ashdod,,
Dekel Keinan,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,,,,,
Orel Dgani,maccabi-haifa,hapoel-tel-aviv,maccabi-haifa,maccabi-haifa,hapoel-tel-aviv,hapoel-tel-aviv,hapoel-tel-aviv,hapoel-tel-aviv,beitar-jerusalem,beitar-jerusalem,beitar-jerusalem
Taleb Tawatha,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,,,,,maccabi-haifa,maccabi-haifa,ihud-bnei-sachnin
Eyal Meshumar,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,,,,,,
Avihay Yadin,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,hapoel-tel-aviv,hapoel-tel-aviv,,,,,
Joel Damahou,maccabi-haifa,,,,,,,,,,
Tamir Cohen,maccabi-haifa,,,,,,,,,,
Gustavo Boccoli,maccabi-haifa,maccabi-haifa,maccabi-haifa,,,,,,,,
Adi Konstantinos,maccabi-haifa,maccabi-haifa,,,,maccabi-netanya,,,,,
Idan Vered,maccabi-haifa,maccabi-haifa,maccabi-haifa,,beitar-jerusalem,beitar-jerusalem,beitar-jerusalem,beitar-jerusalem,beitar-jerusalem,hapoel-tel-aviv,
Daniel Haber,maccabi-haifa,,,,,,,,,,
Dela Yampolski,maccabi-haifa,hapoel-haifa,,,,,,,,,
Alon Turgeman,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,hapoel-haifa,,,hapoel-haifa,hapoel-haifa,hapoel-haifa
Shoval Gozlan,maccabi-haifa,maccabi-haifa,hapoel-tel-aviv,maccabi-haifa,maccabi-haifa,ironi-kiryat-shmona,maccabi-netanya,fc-ashdod,hapoel-hadera,hapoel-hadera,hapoel-haifa
Sari Falah,hapoel-haifa,maccabi-haifa,hapoel-tel-aviv,bnei-yehuda-tel-aviv,ihud-bnei-sachnin,ihud-bnei-sachnin,ihud-bnei-sachnin,ihud-bnei-sachnin,ihud-bnei-sachnin,,
Elad Gabai,ironi-kiryat-shmona,maccabi-haifa,maccabi-haifa,beitar-jerusalem,,,,,,,
Raz Meir,,maccabi-haifa,,bnei-yehuda-tel-aviv,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa
Ran Abukarat,hapoel-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,,,,,,,
Eran Biton,,maccabi-haifa,,maccabi-haifa,,,,,,,
Dor Hugi,,maccabi-haifa,,,,hapoel-tel-aviv,,,,,ihud-bnei-sachnin
Sintayehu Sallalich,ironi-kiryat-shmona,maccabi-haifa,,,,maccabi-haifa,maccabi-haifa,maccabi-haifa,hapoel-beer-sheva,,
Shimon Abuhatzira,ironi-kiryat-shmona,maccabi-haifa,maccabi-haifa,maccabi-haifa,beitar-jerusalem,,ironi-kiryat-shmona,,,,
Tal Bomshtein,,maccabi-haifa,,,,,,,,hapoel-haifa,
Yuval Yosipovich,,maccabi-haifa,,maccabi-haifa,maccabi-haifa,,,,,,
Yaniv Brik,,maccabi-haifa,,,maccabi-haifa,,maccabi-netanya,,sektzia-ness-ziona,maccabi-bnei-reineh,maccabi-bnei-reineh
Rayo,,maccabi-haifa,maccabi-haifa,,,,,,,,
Alex Zahavi,,maccabi-haifa,,,,,,,,,
Tamás Priskin,,maccabi-haifa,,,,,,,,,
Shon Weissman,,maccabi-haifa,maccabi-haifa,,maccabi-haifa,maccabi-haifa,maccabi-haifa,,,,
Vladimir Stojkovic,,,maccabi-haifa,maccabi-haifa,,,,,,,
Ohad Levita,,maccabi-netanya,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,hapoel-beer-sheva,hapoel-beer-sheva,hapoel-beer-sheva,hapoel-haifa,hapoel-haifa
Abraham Paz,,ihud-bnei-sachnin,maccabi-haifa,ihud-bnei-sachnin,ihud-bnei-sachnin,ihud-bnei-sachnin,,,,,
Medo,,,maccabi-haifa,,,,,,,,
Kobi Moyal,beitar-jerusalem,,maccabi-haifa,maccabi-haifa,beitar-jerusalem,,hapoel-jerusalem,,,,
Neta Lavi,,,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,
Itay Shechter,,hapoel-tel-aviv,maccabi-haifa,maccabi-haifa,beitar-jerusalem,beitar-jerusalem,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,hapoel-beer-sheva,hapoel-beer-sheva
Mohamadou Idrissou,,,maccabi-haifa,,,,,,,,
Matan Ohayon,,ironi-kiryat-shmona,maccabi-haifa,hapoel-beer-sheva,hapoel-beer-sheva,hapoel-beer-sheva,hapoel-beer-sheva,,,,
Alaa Jafer,,,maccabi-haifa,,,,,,sektzia-ness-ziona,ironi-kiryat-shmona,bnei-yehuda-tel-aviv
Míchel Madera,,,maccabi-haifa,,,,,,,,
Eliran Atar,maccabi-tel-aviv,,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,beitar-jerusalem,bnei-yehuda-tel-aviv,bnei-yehuda-tel-aviv
Yossi Benayoun,,,maccabi-haifa,maccabi-haifa,maccabi-tel-aviv,beitar-jerusalem,beitar-jerusalem,,,,
Mohammed Kalibat,ihud-bnei-sachnin,ihud-bnei-sachnin,maccabi-haifa,,,ihud-bnei-sachnin,ihud-bnei-sachnin,,,,
Hen Azriel,beitar-jerusalem,bnei-yehuda-tel-aviv,maccabi-haifa,fc-ashdod,fc-ashdod,fc-ashdod,fc-ashdod,,,,
Gil Ofek,,,,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,,,
Shay Ben David,,,,maccabi-haifa,maccabi-haifa,maccabi-haifa,,maccabi-haifa,,fc-ashdod,
Nikola Drincic,,,,maccabi-haifa,,,,,,,
Ofir Kriaf,beitar-jerusalem,beitar-jerusalem,beitar-jerusalem,maccabi-haifa,ironi-kiryat-shmona,beitar-jerusalem,beitar-jerusalem,beitar-jerusalem,beitar-jerusalem,beitar-jerusalem,beitar-jerusalem
Romário Pires,,,maccabi-netanya,maccabi-haifa,,,,,,,
Ludovic Obraniak,,,,maccabi-haifa,maccabi-haifa,,,,,,
Glynor Plet,,hapoel-beer-sheva,,maccabi-haifa,maccabi-haifa,,,,,,
Marc Valiente,,,,maccabi-haifa,maccabi-haifa,,,,,,
Ofri Arad,,,,maccabi-haifa,maccabi-haifa,,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,
Yonatan Levi,,,,maccabi-haifa,maccabi-haifa,maccabi-haifa,hapoel-hadera,maccabi-haifa,,,
Sun Menahem,,,,maccabi-haifa,maccabi-haifa,ironi-kiryat-shmona,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa
